"ChargepointID","LocationName","FeatureLocation","easting","northing"
"Suby1100003236","Hormead Road","At or Outside 41",524694.24,182098.45
"Suby1100002878","Hormead Road","At or Outside 49",524676.85,182116.03
"Suby1100002834","Hormead Road","Opposite 10",524796.36,182026.72
"Suby1100000234","Huxley Street","At or Outside 1",524074.62,182517.94
"Suby1100000235","Huxley Street","At or Outside 20/22",524089.71,182562.56
"Suby1100000102","Huxley Street","At or Outside 48",524098.26,182624.12
"Suby1100002829","Ilbert Street","At or Outside 54",524299.01,182632.27
"Suby1100002797","Ilbert Street","At or Outside 90",524206.99,182645.36
"Suby1100002884","Ilbert Street","Opposite 32",524351.64,182613.04
"Suby1100006980","Inverness Terrace","AT OR OUTSIDE 1-19 CERVANTES COURT",525904.73,181036.32
"Suby1100006297","Inverness Terrace","At or Outside 32",525966.99,180766.87
"Suby1100006288","Inverness Terrace","AT OR OUTSIDE NO.2-6",525986.86,180678.44
"suby1100002602","Inverness Terrace","AT OR OUTSIDE NO.33",525946.92,180780.24
"Suby1100005918","Inverness Terrace","AT OR OUTSIDE NO.7",525965.96,180697.81
"Suby1100002391","Inverness Terrace","AT OR OUTSIDE NO.82/84",525932.29,180922.39
"Suby1100005805","John Islip Street","Opposite LANDSEER HOUSE",529963.16,178509.95
"Suby1100007360","JOHNSON'S PLACE","At or Outside 1 COLERIDGE HOUSE",529282.43,178009.97
"Suby1100008480","JOHNSON'S PLACE","At or Outside 11 CHAUCER HOUSE",529223.74,177987.23
"Suby1100007224","Kensington Gardens Square","At or Outside 28/29",525648.59,181033.27
"Suby1100002733","Kensington Gardens Square","At or Outside 31/32",525641.09,181051.16
"Suby1100007211","Kensington Gardens Square","At or Outside 34",525634.21,181067.84
"Suby1100002500","Kensington Gardens Square","At or Outside 43/44",525610.03,181122.3
"Suby1100007242","Kensington Gardens Square","At or Outside 67.68",525698.77,181086.04
"Suby1100007523","Kensington Gardens Square","At or Outside Near 38",525628.54,181081
"Suby1100007243","Kensington Gardens Square","At or Outside Phoenix Hotel",525729.98,180962.75
"Suby1100002510","Kensington Gardens Square","At or Outside West Two Hotel",525668.33,180987.68
"Suby1100007241","Kensington Gardens Square","Opposite 11",525681.33,180957.54
"Suby1100005900","Kilburn Lane","At or Outside 72",523908.48,182800.95
"Suby1100005809","KILBURN PARK ROAD","AT OR OUTSIDE NO.82/83A",525395.47,182905.13
"Suby1100005904","KILBURN PARK ROAD","Opposite 3 VALESIDE HOUSE",525595.19,183280.83
"Suby1100007206","Kilravock Street","At or Outside 22/24",524357,182676.5
"Suby1100006232","Kilravock Street","At or Outside 70/72",524246.8,182692.52
"Suby1100007217","Kilravock Street","At or Outside 89",524209.4,182689.19
"Suby1100006229","Kilravock Street","Opposite 64",524068.77,182718.17
"Suby1100003202","Lanark Road","At or Outside 135",526037.98,182749.79
"Suby1100006586","Lanark Road","At or Outside 185",525899.74,182925.05
"Suby1100000314","Lanark Road","At or Outside 45B",526273.54,182462.93
"Suby1100000251","Lanark Road","At or Outside 7",526363.16,182351.27
"Suby1100006100","Lanhill Road","At or Outside 1 BCD",525188.31,182421.58
"Suby1100005813","Lanhill Road","At or Outside 16",525216.03,182415.73
"Suby1100007236","Lanhill Road","At or Outside BYRON COURT",525298.18,182367.28
"Suby1100007264","Lanhill Road","At or Outside MAIDA VALE SORTING OFFICE",525276.68,182374.15
"Suby1100002444","Lauderdale Road","At or Outside 135-151",525834.38,182514.08
"Suby1100006537","Lauderdale Road","At or Outside 158-174",525805.78,182527.17
"Suby1100005796","Lauderdale Road","At or Outside 7",526062.54,182522.92
"Suby1100006582","Lauderdale Road","Opposite 12",525713.49,182528.66
"Suby1100002538","Lauderdale Road","Opposite 176-192",525787.93,182514.73
"Suby1100002865","Lauderdale Road","Opposite 250-258",525735.52,182515.74
"Suby1100005748","Leamington Road Villas","At or Outside 19",524907.37,181526.41
"Suby1100005778","Leamington Road Villas","At or Outside 26",524888.36,181540.75
"Suby1100005777","Leamington Road Villas","At or Outside 37",524878.68,181574.56
"Suby1100006109","Leamington Road Villas","At or Outside 45",524863.17,181601.73
"Suby1100006538","Leamington Road Villas","Opposite 4",524940.95,181451.8
"Suby1100005806","Leinster Gardens","At or Outside 34",526132.62,180936.82
"Suby1100006284","Leinster Square","At or Outside 40",525570.99,180963.07
"Suby1100006301","Leinster Square","At or Outside 44",525546.81,180958.17
"Suby1100006415","Leinster Square","At or Outside 53",525491.28,180945.78
"Suby1100002846","Leinster Square","At or Outside 66 Princes Square",525451.61,180928.13
"Suby1100002574","Lisson Grove","Opposite LODGE ROAD",526831.31,182465.96
"Suby1100002581","Lisson Grove","Outside 131",527188.91,182207.02
"Suby1100002630","Lisson Grove","Outside Ashby Court",526850.45,182451.64
"Suby1100006526","Lodge Road","At or Outside ST JOHNS WOOD SUB STATION",527007.72,182605.39
"Suby1100006642","Lodge Road","O/P Church",526876.21,182501.67
"Suby1100006628","Lodge Road","Opposite 52 LODGE ROAD",526933.55,182547.33
"Suby1100006132","Lothrop Street","At or Outside 113",524100.54,182757.31
"Suby1100007227","Lothrop Street","At or Outside 14/16",524364.45,182728.59
"Suby1100007208","Lothrop Street","At or Outside 30/32",524328.4,182733.53
"Suby1100006202","Lothrop Street","At or Outside 61",524269.22,182732.87
"Suby1100005459","Lothrop Street","At or Outside 82 SIXTH AVENUE",524070.75,182770.93
"Suby1100007234","Lothrop Street","At or Outside 89",524205.65,182742.08
"Suby1100007228","Lothrop Street","At or Outside 94/96",524131.65,182761.98
"Suby1100006203","Lothrop Street","At or Outside 97 5TH AVENUE",524152.23,182749.83
"Suby1100005886","Loudoun Road","At or Outside 126",526428.32,183824.83
"Suby1100006581","Loudoun Road","At or Outside 140",526433.74,183879.15
"Suby1100006576","Loudoun Road","At or Outside 35",526419.61,183841.8
"Suby1100007611","Loudoun Road","At or Outside 37",526431.84,183870.35
"Suby1100007600","Loudoun Road","Opposite 1",526576.09,183274.31
"Suby1100006000","Loudoun Road","Opposite 116",526412.07,183763.17
"Suby1100006190","Loudoun Road","Opposite 124",526416.55,183808.58
"Suby1100006165","Loudoun Road","Opposite 18",526402.58,183484.08
"Suby1100006209","Loudoun Road","Opposite 62",526395.44,183522.8
"Suby1100006294","Loudoun Road","Opposite 68",526393.47,183545.11
"Suby1100005808","Loudoun Road","Opposite 78",526393.86,183587.75
"Suby1100006178","Loudoun Road","Side of 22 Marlborough Place",526419.53,183439.95
"Suby1100006170","Lupus Street","At or Outside 118",528862.55,178030.37
"Suby1100006161","Lupus Street","At or Outside 94",528948.14,178134.56
"Suby1100005977","Lupus Street","Opposite 94",528946.47,178121.73
"Suby1100002841","Lydford Road","At or Outside 16B",525007.07,182462.73
"Suby1100007255","Lydford Road","At or Outside 1B",525033,182447.16
"suby1100003108","Lydford Road","At or Outside 25B",524971.78,182464.53
"Suby1100007204","Lydford Road","At or Outside 47B",524912.2,182481.75
"Suby1100002859","Lydford Road","Outside 49",524881.57,182499.74
"Suby1100002695","Macroom Road","At or Outside 16",524978.1,182786.38
"Suby1100002684","Macroom Road","At or Outside 3",524965.2,182807.05
"Suby1100002715","Macroom Road","At or Outside FLATS 1-6 MACROOM HOUSE",524939.59,182816.65
"Suby1100007220","Macroom Road","Opposite 38BC",525001.89,182720.94
"Suby1100006529","Maida Avenue","At or Outside 10",526462.68,182081.55
"Suby1100003842","Maida Avenue","At or Outside 2",526544.07,182154.5
"Suby1100006561","Maida Avenue","At or Outside 25",526339.51,181967.73
"Suby1100006225","Maida Avenue","At or Outside 31",526286.56,181919.27
"Suby1100006560","Maida Avenue","At or Outside LAMPARD HOUSE",526479.43,182096.64
"Suby1100003200","Maida Avenue","At or Outside STAFFORD HOUSE",526557.5,182169.4
"Suby1100006969","Manchester Square","At or Outside 1",528322.4,181367.48
"Suby1100002566","Manchester Square","At or Outside 23-24",528308,181411.33
"Suby1100004882","Manchester Square","Opposite FITZHARDINGE STREET",528241.87,181367.79
"suby1100004002","Manchester Square","Opposite HINDE STREET",528306.97,181383.04
"Suby1100008401","Marlborough Hill","At or Outside 1",526489.3,183453.62
"Suby1100008396","Marlborough Hill","At or Outside 41",526486.96,183748.31
"Suby1100008392","Marlborough Hill","At or Outside 53",526493.48,183813.98
"Suby1100008408","Marlborough Hill","Near J/w Carlton Hill",526473.83,183605.5
"Suby1100008406","Marlborough Hill","Opposite 10",526482.77,183521.94
"Suby1100008399","Marlborough Hill","Opposite 35",526493.69,183719.56
"Suby1100008393","Marlborough Hill","Side of 7 Boundary Road",526496.95,183851.3
"Suby1100006637","Marlborough Place","At or Outside 32",526356.41,183358.18
"Suby1100006644","Marlborough Place","Opposite MARLBOROUGH HILL",526505.23,183426.11
"suby1100002845","Marne Street","At or Outside 12/14",524354.04,182779.34
"Suby1100002847","Marne Street","At or Outside 28/30",524318.51,182784.55
"Suby1100002839","Marne Street","At or Outside 43/45",524293.27,182778.94
"Suby1100002848","Marne Street","At or Outside 88",524135.79,182804.72
"Suby1100002842","Marne Street","At or Outside 88 6th AVENUE",524071.42,182797.5
"Suby1100003686","Marne Street","At or Outside 95/97",524119.76,182794.71
"Suby1100007218","Marylands Road","At or Outside 13",525358.65,182070.2
"Suby1100007249","Marylands Road","At or Outside 70",525537.92,182267.36
"Suby1100003110","Montagu Street","AT OR OUTSIDE NO.16/18",527844.52,181324.82
"Suby1100000321","Montagu Street","OPPOSITE NO.21/22",527861.86,181298.86
"Suby1100002568","Moorhouse Road","At or Outside 11",525134.67,181210.55
"Suby1100003237","Moorhouse Road","At or Outside 22",525125.94,181290.23
"Suby1100005803","Morshead Road","At or Outside 41-48 MORSHEAD MANSIONS",525511.18,182606.41
"Suby1100005783","Morshead Road","At or Outside 73-80 MORSHEAD MANSIONS",525478.53,182642.05
"Suby1100005798","Morshead Road","At or Outside 97-104 MORSHEAD MANSIONS",525440.1,182684.24
"Suby1100006121","Morshead Road","Opposite 1-8 MORSHEAD MANSIONS",525560.05,182571.03
"Suby1100005901","Morshead Road","Opposite 57-64 MORSHEAD MMANSIONS",525501.19,182634.4
"Suby1100005914","Morshead Road","Opposite 89-96 MORSHEAD MANSIONS",525465.55,182671.33
"Suby1100005788","Morshead Road","Side of 53-59 ESSENDINE MANSIONS",525420.03,182694.16
"Suby1100006573","Moscow Road","At or Outside Prince Edward Mansions",525483.32,180762.74
"Suby1100005786","Moscow Road","Opposite 59",525677.15,180832.5
"Suby1100008474","Needham Road","At or Outside 15",525176.67,181141.3
"Suby1100008395","Needham Road","At or Outside 6",525191.81,181132.12
"Suby1100002370","New Cavendish Street","At or Outside 148",529156.18,181826.74
"Suby1100002360","New Cavendish Street","Opposite 19",528435.63,181603.73
"Suby1100005751","Newcourt Street","Approximately 30m from junction with Charlbert Street",527211.27,183195.59
"Suby1100008397","Newcourt Street","J/w greenberry street",527147.34,183090.39
"Suby1100005912","Newcourt Street","Near JCT CHARLBERT STREET",527222.23,183217.1
"Suby1100005855","Newcourt Street","Opposite 8b to 11c",527167.49,183130.96
"Suby1100006650","Norfolk Road","At or Outside 14",526853.07,183594.58
"Suby1100006666","Norfolk Road","At or Outside 25",526944.44,183669.11
"Suby1100006527","Norfolk Road","At or Outside 28",526984.17,183706.73
"Suby1100008469","Norfolk Road","At or Outside 6",526917.91,183656.27
"Suby1100005862","Northumberland Place","At or Outside 30",525226.08,181326.71
"Suby1100007835","Nottingham Place","Opposite 45",528227.09,182001.03
"Suby1100007215","Nutbourne Street","At or Outside 132",524198.38,182851.07
"Suby1100007238","Nutbourne Street","Near 104",524067.9,182846.53
"Suby1100002387","Oakington Road","At or Outside 12/14",525368.47,182205.37
"Suby1100002550","Oakington Road","At or Outside 34",525323.41,182237.28
"Suby1100002545","Oakington Road","At or Outside 52",525285.32,182267.91
"Suby1100006533","Oakington Road","Side of 84 ELGIN AVENUE",525283.04,182290.27
"Suby1100007265","Oliphant Street","At or Outside 102/104",524100.08,182890.47
"Suby1100007261","Oliphant Street","At or Outside 80/82",524010.74,182875.91
"Suby1100002426","ORDNANCE HILL","At or Outside 23",526970.19,183412.09
"Suby1100002436","ORDNANCE HILL","At or Outside 3",527002.3,183372.23
"Suby1100002445","ORDNANCE HILL","Side of 15 Norfolk Road",526858.21,183565.9
"Suby1100002491","Orsett Terrace","At or Outside 13",526028.6,181401.65
"Suby1100006242","Orsett Terrace","At or Outside 1A",526126.31,181446.72
"Suby1100002488","Orsett Terrace","At or Outside 35",525967.38,181373.61
"Suby1100002486","Orsett Terrace","Opposite 1",526135.9,181462.75
"Suby1100006555","Paddington Green","Opposite SO CHURCH  S W corner of Westminster College",526734.3,181787.56
"Suby1100007813","Page Street","At or Outside 83",529908.21,178873.81
"Suby1100005920","Palace Court","At or Outside 22",525567.95,180671.53
"Suby1100005931","Palace Court","At or Outside 31",525548.49,180690.24
"Suby1100005909","Palace Court","o/s 7",525580.69,180576.55
"Suby1100005861","Palace Court","Opposite 49",525543.59,180753.58
"Suby1100000405","Palace street","Opposite Wilfred Street",529182.71,179350.43
"Suby1100006103","Peach Road","At or Outside 138-140",523998.82,182688.78
"Suby1100006095","Peach Road","At or Outside 158-160",524004.02,182722.84
"Suby1100005804","Peach Road","At or Outside 208-210",524002.82,182832.07
"Suby1100006097","Peach Road","At or Outside 217-219",523997.75,182742.46
"Suby1100006105","Peach Road","At or Outside 243-245",523998.41,182804.29
"Suby1100006118","Penfold Street","At or Outside 5 Wandle House",527014.85,181969.89
"Suby1100005790","Penfold Street","At or Outside Miles Buildings 1-10",527066.74,181895.17
"Suby1100006089","Penfold Street","AT OR OUTSIDE POOL HOUSE",526996.92,181978.01
"Suby1100007824","Ponsonby Place","At or Outside 4",529994.57,178392.27
"Suby1100000256","Porchester Square","At or Outside 4",525950.08,181453.17
"Suby1100000067","Porchester Terrace North","Opposite 157-159",525940.79,181343.85
"Suby1100003731","Porchester Terrace North","Outside No. 163",525944.63,181399.37
"Suby1100000083","Portland Place","Outside 42",528807.61,181779
"Suby1100002560","Portland Place","Outside 74 - 80",528761.12,181933.87
"Suby1100006235","Portnall Road","At or Outside 134",524694.95,182763.55
"Suby1100006200","Portnall Road","At or Outside 236",524608.66,183046.27
"Suby1100008486","Portnall Road","At or Outside 55",524704.32,182410.05
"Suby1100005792","Portnall Road","At or Outside 85/87",524711.5,182496.18
"Suby1100006620","Prince Albert Road","At or Outside ST JAMES TERRACE",527625.23,183488.31
"Suby1100006145","Prince Albert Road","At or Outside VICEROY COURT",527358.36,183276.26
"Suby1100006151","Prince Albert Road","At or Outside VICEROY COURT",527376.27,183301.59
"Suby1100006600","Prince Albert Road","Opposite park, outside St James Terrace",527592.2,183470.8
"Suby1100006126","Prince Albert Road","Outside park opposite North Gate",527288.32,183100.15
"Suby1100006147","Prince Albert Road","Side of 52-61 STOCKLEIGH HALL",527533.01,183437.47
"Suby1100002499","Prince Consort Road","At or Outside 57",526700.71,179473.46
"Suby1100002494","Prince Consort Road","At or Outside 60",526647.96,179467.88
"Suby1100002490","Prince Consort Road","At or Outside 60",526671.8,179468.8
"Suby1100003755","Prince Consort Road","O/s Royal College of Science",526472.04,179442.82
"Suby1100007804","Princes Gardens","At or Outside 15",526961.93,179482.66
"Suby1100007807","Princes Gardens","At or Outside COLLEGE",526984.2,179486.21
"Suby1100007222","PRINCES SQUARE","At or Outside 17",525570.43,180885.52
"Suby1100008473","PRINCES SQUARE","At or Outside 2",525488.49,180868.06
"Suby1100005785","PRINCES SQUARE","At or Outside 33-38",525648.75,180928.19
"Suby1100007240","PRINCES SQUARE","At or Outside 7",525513.22,180873.07
"Suby1100007209","PRINCES SQUARE","At or Outside Bayswater Inn",525545.19,180880.05
"Suby1100007820","QUEEN ANNE'S GATE","At or Outside 23                                                                                                              Grade ii   Listed as per Historic Englad ref:1227330 historic England desc 12 LAMP STANDARDS NUMBERS 1 TO 12 (CONSECUTIVE), QUEEN ANNE'S GATE SW1, can only see 11 on Confirm",529649.58,179597.17
"Suby1100006580","QUEEN'S TERRACE","At or Outside BALMORAL COURT",526659.24,183427.05
"Suby1100006134","Queensborough terrace","At or Outside 14-15",525986.5,180919.04
"Suby1100006136","Queensborough terrace","At or Outside 18",525992.17,180894.26
"Suby1100005747","Queensborough terrace","At or Outside 36",526025.21,180790.22
"Suby1100005753","Queensborough terrace","At or Outside 48",526031.03,180765.75
"Suby1100002585","Rampayne Street","At or Outside 3",529673.26,178390.53
"Suby1100002604","Rampayne Street","At or Outside 4",529698.14,178418.02
"Suby1100005896","Randolph Avenue","At or Outside 134",526020.28,182669.92
"Suby1100005899","Randolph Avenue","At or Outside 143",525949.69,182738.57
"Suby1100005939","Randolph Avenue","At or Outside 188",525860.6,182871.91
"Suby1100006144","Randolph Avenue","At or Outside 195",525835.04,182885.96
"Suby1100006143","Randolph Avenue","At or Outside 204",525827.95,182914.73
"Suby1100002379","Randolph Avenue","At or Outside 209",525772.14,182967.83
"Suby1100005922","Randolph Avenue","At or Outside 21",526371,182227
"Suby1100002435","Randolph Avenue","At or Outside 213",525752.81,182992.54
"Suby1100002433","Randolph Avenue","At or Outside 217",525738.12,183011.61
"Suby1100006171","Randolph Avenue","At or Outside 22",526390.28,182226.99
"Suby1100002551","Randolph Avenue","At or Outside 258",525727.06,183045.69
"Suby1100006564","Randolph Avenue","At or Outside 34",526315.99,182316.84
"Suby1100005905","Randolph Avenue","At or Outside 81",526096.07,182558.3
"Suby1100002357","Randolph Avenue","At or Outside 88",526202.08,182449.48
"Suby1100006656","Randolph Avenue","At or Outside 99",526050.13,182615.12
"Suby1100002353","Randolph Avenue","Opposite no. 30",526209.51,182422
"Suby1100002886","Randolph Crescent","At or Outside 1",526189.46,182211.39
"Suby1100002800","Randolph Crescent","At or Outside 7",526184.39,182235.09
"Suby1100006605","Randolph Crescent","At or Outside 8",526194.78,182256.72
"Suby1100000428","Randolph Crescent","Opposite 28",526214.22,182387.8
"Suby1100002382","Randolph Gardens","At or Outside 4",525645.01,183151.54
"Suby1100002429","Randolph Gardens","At or Outside TORRIDON HOUSE",525570.5,183242.86
"Suby1100002366","Randolph Gardens","At or Outside TORRIDON HOUSE",525617.12,183185.78
"suby1100002356","Randolph Road","At or Outside 3",526288.87,182093.94
"suby1100002367","Randolph Road","At or Outside 6",526255.38,182129.32
"Suby1100002348","Randolph Road","At or Outside CO 8A",526224.25,182163.16
"Suby1100007809","Regency Street","Opposite HIDE TOWER",529762.77,178718.35
"Suby1100005950","ROCHESTER ROW","Outside Sainsbury’s",529521.48,179069.85
"Suby1100002543","Rossmore road","At or Outside 9A",527331.6,182232.62
"Suby1100006303","Rossmore Road","At or Outside 20YDS FROM SL10",527421.05,182286
"Suby1100006286","Rossmore Road","At or Outside 20YDS FROM SL12",527446.89,182294.54
"Suby1100008478","Rossmore Road","At or Outside 20YDS FROM SL13",527482.55,182292.62
"Suby1100006123","Rossmore Road","At or Outside 50YDS FROM SL9",527397.14,182277.88
"Suby1100006138","Rossmore Road","At or Outside PALGRAVE GARDENS",527529.6,182307.2
"Suby1100006129","Rossmore Road","Opposite TAUNTON PLACE",527498.07,182310.7
"Suby1100003681","Rutland gate","At or Outside CO 22",527234.73,179583.47
"Suby1100007833","Rutland Gate","At or Outside 7 LISTED HISTORIC ENGLAND 1235359 GRADE II",527260.35,179632.8
"Suby1100007818","Rutland Gate","Opposite 3                                                                                                                         Grade ii   Listed as per Historic Englad ref: 1235365",527224.55,179647.9
"Suby1100006127","Salem Road","At or Outside 5",525784.72,180905.74
"Suby1100004883","Saltram crescent","At or Outside 74",524940.71,182891.67
"Suby1100002601","Saltram crescent","At or Outside 86/88",524897.35,182923.57
"Suby1100003139","Saltram crescent","At or Outside 9/11",525079.31,182598.8
"Suby1100000319","Saltram Crescent","At or Outside 101",525016.11,182844.98
"Suby1100002576","Saltram Crescent","At or Outside 112",524840,182965.27
"Suby1100002629","Saltram Crescent","At or Outside 171",524825.28,182983.33
"Suby1100000079","Saltram Crescent","At or Outside 58",524986.93,182857.3
"Suby1100005875","Second Avenue","At or Outside 16/18",524482.39,182474.6
"Suby1100005800","Second Avenue","At or Outside 55/57",524479.94,182520.48
"Suby1100006175","Senior Street","At or Outside 18-32 SENIOR STREET",525621.52,181816.62
"Suby1100006163","Senior Street","At or Outside 34-80 SENIOR STREET",525639.82,181843.26
"Suby1100006164","Senior Street","Opposite ROWINGTON CLOSE",525755.26,181876.95
"Suby1100003289","Seymour Street","At or Outside 34",527859.84,181140.47
"Suby1100002430","Seymour Street","At or Outside Lanchester Court",527599.15,181064.84
"Suby1100002862","Seymour Street","At or Outside POLICE STATION",527965.98,181161.22
"Suby1100003282","Seymour Street","Near J/w Portman Square",527921.07,181158.25
"Suby1100002548","Seymour Street","Opposite 12",527947.08,181155.61
"Suby1100002555","Seymour Street","Opposite 88",527578.24,181046.99
"Suby1100002425","Seymour Street","Outside york house",527746.36,181097.3
"Suby1100002439","Seymour Street","Side of 1 Connaught Square",527557.33,181052.47
"Suby1100006651","Shannon Place","Near JCT MACKENAL STREET",527308.07,183327.53
"Suby1100002386","Shirland Road","At or Outside 122",525318.06,182435.4
"Suby1100002369","Shirland Road","At or Outside 137 BCD",525374.24,182418.98
"Suby1100006224","Shirland Road","At or Outside 148",525254.8,182469.96
"Suby1100002374","Shirland Road","At or Outside 167",525303.26,182457.52
"Suby1100007262","Shirland Road","At or Outside 242B",524926.63,182580.76
"Suby1100007263","Shirland Road","At or Outside 65",525643.77,182228.39
"Suby1100006183","Shirland Road","At or Outside 81",525605.41,182256.76
"Suby1100007247","Shirland Road","Opposite 105",525541.04,182290.02
"Suby1100007200","Shirland Road","Opposite 21",525827.94,182076.73
"Suby1100006211","Shirland Road","Opposite 89",525580.37,182260.82
"Suby1100006558","Shrewsbury Road","Side of 137 WESTBOURNE PARK ROAD",525142.95,181503.52
"Suby1100008484","Shroton Street","At or Outside 19-20",527250.25,181975.77
"Suby1100002801","Sixth Avenue","At or Outside 18",524034.38,182565.51
"Suby1100002838","Sixth Avenue","At or Outside 3/5",524021.53,182537.36
"Suby1100002885","Sixth Avenue","At or Outside 32/34",524038.81,182599.47
"Suby1100002511","South Street","At or Outside 37",528467.09,180481.08
"Suby1100002504","South Street","S/O 51",528506.27,180486.46
"SUby1100006212","South Wharf Road","Opposite WEST END QUAY",526952.44,181492.39
"Suby1100005891","Springfield Road","At or Outside 46",526349.83,183792.59
"Suby1100006575","Springfield Road","At or Outside 55",526334.39,183773.37
"Suby1100006216","Springfield Road","At or Outside 9",526134.39,183663.42
"Suby1100005889","Springfield Road","Opposite 27",526206.08,183713.76
"Suby1100005859","Springfield Road","Outside 36",526269.49,183747.03
"Suby1100006545","ST ANN'S TERRACE","At or Outside 23",526868.07,183335.3
"Suby1100006587","ST GEORGE STREET","O/S NO.14",528931.43,180957.2
"Suby1100002582","ST GEORGE'S DRIVE","At or Outside 123",529298.06,178258.25
"Suby1100002304","ST GEORGE'S DRIVE","At or Outside 30",528985.38,178499.48
"Suby1100003298","ST GEORGE'S DRIVE","At or Outside 41",528974.75,178490.18
"Suby1100006177","ST GEORGE'S DRIVE","At or Outside 52",529173.82,178364.15
"Suby1100006192","ST GEORGE'S DRIVE","Opposite ST GABRIELS CHURCH",529119.18,178404.88
"suby1100003290","ST GEORGE'S DRIVE","Outside 23 Warwick square.",529050.44,178452.99
"suby1100007816","ST GEORGE'S SQUARE","At or Outside 115",529673.94,178027.18
"Suby1100003264","ST GEORGE'S SQUARE","At or Outside 19",529557.37,178331.58
"Suby1100003302","ST GEORGE'S SQUARE","At or Outside 55/57",529615.04,178215.13
"Suby1100003241","ST GEORGE'S SQUARE","At or Outside 7",529523.58,178355.71
"Suby1100005992","ST JOHN'S WOOD HIGH STREET","Opposite 1-12 HANNOVER HOUSE",527133.76,183003.65
"Suby1100006157","ST JOHN'S WOOD HIGH STREET","Opposite 37-48 HANNOVER HOUSE",527104.04,183040.35
"Suby1100006601","ST JOHN'S WOOD HIGH STREET","Opposite GREENBERRY STREET",527158.54,182970.62
"Suby1100006536","ST JOHN'S WOOD PARK","At or Outside 8",526729.66,183840
"Suby1100005339","ST JOHN'S WOOD TERRACE","At or Outside 15",526989.92,183304.22
"Suby1100005342","ST JOHN'S WOOD TERRACE","At or Outside 36",527080.04,183373.03
"Suby1100005344","ST JOHN'S WOOD TERRACE","At or Outside 80",527151.09,183441.79
"Suby1100005888","ST MARY'S TERRACE","At or Outside 13",526567.87,181785.7
"Suby1100005915","ST STEPHEN'S GARDENS","At or Outside 44",525225.49,181477.91
"Suby1100007219","ST STEPHEN'S GARDENS","At or Outside 47",525199.88,181433.56
"Suby1100007252","ST STEPHEN'S GARDENS","At or Outside 50",525207.61,181472.48
"Suby1100005863","ST STEPHEN'S GARDENS","At or Outside 53",525182.58,181427.99
"Suby1100007257","ST STEPHEN'S GARDENS","At or Outside 54",525191.16,181467.05
"Suby1100005911","ST STEPHEN'S GARDENS","At or Outside 60",525173.42,181461.18
"Suby1100007819","Stafford Place","At or Outside 10m from Palace Street",529084.3,179424.22
"Suby1100002368","Stanhope Terrace","At or Outside 10",526820.26,180853.84
"Suby1100002364","Stanhope Terrace","At or Outside 13",526834.89,180867.69
"Suby1100006204","Star Street","At or Outside 43",526960.91,181352.65
"Suby1100006189","Star Street","At or Outside 64",527024.52,181400.53
"Suby1100007817","Stillington Street","Opposite 25 to 48 Queen Mary's Building",529337.86,178913.43
"Suby1100006093","Sussex Place","Outside 2",526866,181096
"Suby1100002565","Sutherland Avenue","At or Outside 107",525723,182208
"Suby1100002446","Sutherland Avenue","At or Outside 112",525784.3,182274.13
"Suby1100002447","Sutherland Avenue","At or Outside 122",525823.44,182297.86
"Suby1100003074","Sutherland Avenue","At or Outside 127",525840.06,182282.05
"Suby1100004010","Sutherland Avenue","At or Outside 136",525891.83,182339.6
"Suby1100004014","Sutherland Avenue","At or Outside 144",525920.02,182362.23
"Suby1100003228","Sutherland Avenue","At or Outside 145",525904.09,182322.62
"Suby1100004003","Sutherland Avenue","At or Outside 153",525928.38,182342.07
"Suby1100003629","Sutherland Avenue","At or Outside 165",525972.49,182377.3
"Suby1100004021","Sutherland Avenue","At or Outside 166",525984.28,182414.68
"Suby1100004017","Sutherland Avenue","At or Outside 173",525997.84,182397.82
"Suby1100004008","Sutherland Avenue","At or Outside 180",526035.74,182457.12
"Suby1100004001","Sutherland Avenue","At or Outside 187",526033.81,182426.59
"Suby1100003999","Sutherland Avenue","At or Outside 211",526211.99,182576.83
"Suby1100002427","Sutherland Avenue","At or Outside 23",525437.47,182040.48
"Suby1100002383","Sutherland Avenue","At or Outside 30",525453.91,182068.23
"Suby1100002361","Sutherland Avenue","At or Outside 35",525476,182064
"Suby1100004004","Sutherland Avenue","At or Outside 44",525486.49,182088.35
"Suby1100004006","Sutherland Avenue","At or Outside 56",525535.88,182118.24
"Suby1100004007","Sutherland Avenue","At or Outside 82",525617.03,182167.32
"Suby1100004000","Sutherland Avenue","At or Outside 83",525601.99,182140.51
"Suby1100004005","Sutherland Avenue","At or Outside 98",525719.41,182234.59
"Suby1100004009","Sutherland Avenue","Central Reserve Opposite No.181",526018.1,182441.02
"Suby1100004011","Sutherland Avenue","Outside 179",526015.32,182413.24
"Suby1100006608","Sutherland Place","At or Outside 39",525204.43,181200.78
"Suby1100006184","Sutherland Street","At or Outside 56",528982.38,178155.4
"Suby1100006592","Sutherland Street","O/S 65/67",528955.06,178191.42
"Suby1100002342","Talbot Road","At or Outside  81",525079.86,181319.98
"Suby1100002879","Talbot Road","At or Outside 11",525446.63,181433
"Suby1100002883","Talbot Road","At or Outside 40",525216.41,181366.67
"Suby1100003262","Talbot Road","At or Outside 43",525245.1,181364.61
"Suby1100007223","Taunton Place","At or Outside BALCMBE HOUSE",527529,182291
